modeoflearning,edlevel,yearscode,yearscodepro,devtype,languagehaveworkedwith,databasehaveworkedwith,platformhaveworkedwith,webframehaveworkedwith,newcollabtoolshaveworkedwith,opsyspersonal_use,opsysprofessionaluse,workexpyears,industry
Unknown,Primaryelementary school,0,-1,Other please specify,Python,Unknown,Unknown,Unknown,Unknown,Windows,Other please specify,-1,Unknown
Remote,Secondary school eg American high school German Realschule or Gymnasium etc,12,6,Designer,HTMLCSSTypeScript,Unknown,Cloudflare,AstroBlazorGatsbyjQueryReactSvelteWordPress,Visual Studio Code,MacOS,MacOS,-1,Unknown
Unknown,Associate degree AA AS etc,5,3,Developer backend,BashShell all shellsGoPHPSQL,MySQL,Unknown,Yii 2,GolandPhpStorm,MacOS,Ubuntu,-1,Unknown
Remote,Bachelors degree BA BS BEng etc,15,10,Developer backend,PHPPython,MySQLRedis,Alibaba Cloud,Laravel,NanoPhpStormVisual Studio Code,MacOS,MacOS,10,Healthcare
Hybrid some remote some inperson,Masters degree MA MS MEng MBA etc,15,-1,Project manager,CKotlinSwift,Unknown,Unknown,Unknown,Android StudioVisual Studio CodeXcode,AndroidWindows,AndroidMacOS,20,Software Development
Remote,Some collegeuniversity study without earning a degree,35,21,Developer fullstack,CHTMLCSSJavaScriptVisual Basic Net,Microsoft SQL Server,Amazon Web Services AWSMicrosoft Azure,ASPNETASPNET COREjQuery,Visual StudioVisual Studio Code,Windows,Windows,21,Software Development
Remote,Secondary school eg American high school German Realschule or Gymnasium etc,45,35,Developer fullstack,BashShell all shellsHTMLCSSJavaScriptPythonSQLTypeScript,PostgreSQL,Amazon Web Services AWS,AngularAngularJSDjangoNodejs,Android StudioEclipseJupyter NotebookJupyterLabVisual Studio CodeXcode,iOSWindows,AndroidiOSUbuntuWindows,35,Software Development
Hybrid some remote some inperson,Some collegeuniversity study without earning a degree,27,27,Developer desktop or enterprise applications,AssemblyCCCObjectiveCRustSwift,SQLite,Unknown,Unknown,BBEditNeovimVisual StudioVisual Studio CodeXcode,MacOS,MacOS,27,Software Development
Hybrid some remote some inperson,Masters degree MA MS MEng MBA etc,6,3,Student,CCKotlinSQLSwift,SQLite,FirebaseMicrosoft Azure,Unknown,Jupyter NotebookJupyterLabVisual StudioVisual Studio Code,Windows,Windows,-1,Unknown
Remote,Masters degree MA MS MEng MBA etc,15,15,Developer backend,C,Unknown,Microsoft Azure,Unknown,NotepadVisual Studio,Windows,Windows,-1,Unknown
Remote,Some collegeuniversity study without earning a degree,9,9,Developer frontend,TypeScript,SQLite,Digital Ocean,NextjsNodejsReactSvelte,Visual Studio Code,Arch,Arch,-1,Unknown
Hybrid some remote some inperson,Professional degree JD MD PhD EdD etc,29,20,Academic researcher,BashShell all shellsLispRRustSQL,PostgreSQLSQLite,Digital Ocean,Unknown,EmacsKateRStudio,Arch,Arch,-1,Unknown
Remote,Masters degree MA MS MEng MBA etc,15,12,Developer embedded applications or devices,CCPythonZig,Unknown,Unknown,Unknown,NotepadVimVisual Studio Code,MacOSUbuntuWindows,Unknown,-1,Unknown
Unknown,Bachelors degree BA BS BEng etc,5,0,Developer fullstack,BashShell all shellsCCCHTMLCSSJavaJavaScriptMATLABPythonRustTypeScript,MongoDBMySQLPostgreSQL,Unknown,AngularASPNETASPNET COREExpressNodejsReactWordPress,Jupyter NotebookJupyterLabNanoNeovimPyCharmSublime TextVimVisual StudioVisual Studio Code,Windows,UbuntuWindowsWindows Subsystem for Linux WSL,-1,Unknown
Remote,Masters degree MA MS MEng MBA etc,9,5,Developer fullstack,BashShell all shellsHTMLCSSJavaScriptPHPPowerShellPythonTypeScript,MySQLPostgreSQL,Unknown,ExpressNestJSNextjsNodejsReactVuejs,Jupyter NotebookJupyterLabPhpStormPyCharmSublime Text,UbuntuWindows,UbuntuWindows,-1,Unknown
Remote,Bachelors degree BA BS BEng etc,3,3,Developer fullstack,CGDScriptHTMLCSSJavaScriptPythonSQLTypeScript,MongoDBPostgreSQLSQLite,Amazon Web Services AWSCloudflareHetzner,AngularJSExpressFastifyNextjsNodejsReactSvelteVuejs,Android StudioVisual Studio CodeVSCodium,Fedora,FedoraRed HatUbuntu,3,Software Development
Hybrid some remote some inperson,Masters degree MA MS MEng MBA etc,10,1,Developer embedded applications or devices,AssemblyBashShell all shellsCCHTMLCSSJavaJavaScriptPHPPythonRSQL,ElasticsearchMongoDBMySQL,Google Cloud,jQueryWordPress,Android StudioCLionCodeBlocksEclipseIntelliJ IDEAJupyter NotebookJupyterLabNeovimPyCharmSpyderVimVisual Studio Code,AndroidDebianUbuntu,DebianUbuntu,1,Internet Telecomm or Information Services
