modeoflearning,edlevel,yearscode,yearscodepro,devtype,languagehaveworkedwith,databasehaveworkedwith,platformhaveworkedwith,webframehaveworkedwith,newcollabtoolshaveworkedwith,opsyspersonal_use,opsysprofessionaluse,workexpyears,industry
Remote,Bachelors degree BA BS BEng etc,17,4,Developer embedded applications or devices,BashShell all shellsCCPython,Unknown,Unknown,Unknown,VSCodium,Other Linuxbased,Other Linuxbased,6,Internet Telecomm or Information Services
Inperson,Bachelors degree BA BS BEng etc,35,24,Developer fullstack,CCDelphi,Firebird,Unknown,Unknown,Notepad,Debian,Windows,-1,Unknown
Remote,Bachelors degree BA BS BEng etc,5,3,Developer fullstack,HTMLCSSJavaScriptSQL,MongoDBMySQL,Amazon Web Services AWS,ExpressNodejsReact,Visual Studio CodeXcode,MacOSUbuntu,Unknown,3,Internet Telecomm or Information Services
Inperson,Masters degree MA MS MEng MBA etc,12,10,Senior Executive CSuite VP etc,HTMLCSSJavaScriptPHPSQL,ElasticsearchMariaDBMongoDBMySQLOracleRedisSQLite,Amazon Web Services AWSCloudflareDigital OceanFlyioGoogle CloudManaged Hosting,AngularAngularJSjQueryLaravelNodejsReactVuejs,Android StudioNetbeansNotepadPhpStormSublime TextVisual Studio,AndroidChromeOSDebianiOSMacOSUbuntuWindows,AndroidChromeOSDebianiOSMacOSUbuntuWindows,12,Software Development
Unknown,Secondary school eg American high school German Realschule or Gymnasium etc,8,5,Student,BashShell all shellsCCDartElixirGoKotlinPythonRustSwiftZig,PostgreSQL,Unknown,NodejsReact,HelixIntelliJ IDEANeovimXcode,FedoraMacOS,MacOS,-1,Unknown
Remote,Bachelors degree BA BS BEng etc,12,9,Developer fullstack,BashShell all shellsJavaJavaScriptKotlinTypeScript,H2Microsoft SQL ServerPostgreSQL,Microsoft Azure,AngularNestJSSpring Boot,Android StudioFleetIntelliJ IDEANeovimVimVisual Studio Code,UbuntuWindowsWindows Subsystem for Linux WSL,MacOSUbuntu,-1,Unknown
Inperson,Masters degree MA MS MEng MBA etc,13,9,Developer fullstack,CHTMLCSSJavaScriptSQL,Microsoft SQL Server,Microsoft Azure,ASPNET COREjQueryNodejs,Visual Studio,Windows,MacOSWindows,9,Software Development
Hybrid some remote some inperson,Bachelors degree BA BS BEng etc,12,8,Developer embedded applications or devices,CCLuaPython,Unknown,Unknown,Unknown,NeovimVim,iOSUbuntu,iOSUbuntu,8,Software Development
Remote,Bachelors degree BA BS BEng etc,3,2,Developer backend,Go,MySQL,Alibaba Cloud,Unknown,Neovim,MacOSUbuntu,MacOSUbuntu,2,Software Development
Hybrid some remote some inperson,Bachelors degree BA BS BEng etc,21,14,Developer fullstack,HTMLCSSJavaScriptPowerShellPythonRustTypeScript,BigQuery,Digital OceanGoogle Cloud,FastAPINextjsNodejsReactWordPress,NotepadVisual Studio Code,Windows,CygwinWindowsWindows Subsystem for Linux WSL,14,Software Development
Inperson,Bachelors degree BA BS BEng etc,4,0,Developer mobile,CHTMLCSSJavaJavaScriptPythonSQL,MongoDBMySQLSQLite,Unknown,Unknown,Android StudioVisual Studio,Unknown,Unknown,1,Unknown
Unknown,Bachelors degree BA BS BEng etc,27,-1,Other please specify,Unknown,Unknown,Unknown,Unknown,Unknown,Windows,Other LinuxbasedSolarisWindows,-1,Unknown
Inperson,Bachelors degree BA BS BEng etc,6,2,Research  Development role,CPython,PostgreSQLSQLite,Amazon Web Services AWSGoogle CloudHeroku,Unknown,Qt CreatorVisual Studio Code,DebianUbuntuWindows,DebianUbuntuWindows,-1,Unknown
Unknown,Bachelors degree BA BS BEng etc,5,5,Developer backend,Java,PostgreSQL,Amazon Web Services AWS,Spring Boot,IntelliJ IDEA,MacOS,MacOSWindows,-1,Unknown
Remote,Masters degree MA MS MEng MBA etc,2,1,Developer backend,GoJavaScript,MariaDBMySQLPostgreSQLSQLite,Amazon Web Services AWS,FastAPIFlask,GolandNeovimPyCharmVimVisual Studio CodeVSCodiumXcode,MacOS,MacOS,2,Media  Advertising Services
Inperson,Bachelors degree BA BS BEng etc,9,5,Developer frontend,HTMLCSSJavaScriptTypeScript,Unknown,Unknown,AngularAngularJSExpressNextjsNodejsReact,Android StudioEclipseIntelliJ IDEANetbeansNotepadPyCharmRStudioSublime TextVisual Studio Code,AndroidWindows,Ubuntu,5,Software Development
Inperson,Masters degree MA MS MEng MBA etc,22,-1,Developer game or graphics,CC,Unknown,Unknown,Unknown,Unknown,Unknown,Windows,7,Other
Unknown,Secondary school eg American high school German Realschule or Gymnasium etc,6,-1,Developer desktop or enterprise applications,BashShell all shellsCCHTMLCSSJavaScriptMATLABPythonSwift,Unknown,CloudflareMicrosoft Azure,NodejsReact,CLionEmacsHelixIPythonJupyter NotebookJupyterLabNotepadPyCharmRiderSublime TextVimVisual StudioVisual Studio CodeWebStormXcode,iOSiPadOSMacOSUbuntuWindows,iOSiPadOSMacOSUbuntuWindows,-1,Unknown
Hybrid some remote some inperson,Masters degree MA MS MEng MBA etc,20,20,Developer fullstack,Unknown,OraclePostgreSQL,Unknown,Unknown,Visual Studio Code,Red Hat,Unknown,-1,Unknown
Inperson,Bachelors degree BA BS BEng etc,7,4,Developer frontend,DartPython,CassandraFirebase Realtime Database,Amazon Web Services AWS,Flask,Android StudioVisual Studio CodeXcode,MacOS,MacOS,4,Software Development
Remote,Bachelors degree BA BS BEng etc,19,13,Developer backend,GoJavaScriptRuby,PostgreSQL,Google Cloud,Ruby on RailsVuejs,Neovim,MacOS,MacOS,13,Retail and Consumer Services
Hybrid some remote some inperson,Bachelors degree BA BS BEng etc,25,23,Developer fullstack,BashShell all shellsCCHTMLCSSJavaScriptPHPPythonRustSQL,MariaDBPostgreSQLSQLite,Amazon Web Services AWSDigital OceanManaged Hosting,ReactWordPress,Vim,Other Linuxbased,Other LinuxbasedUbuntu,23,Higher Education
Hybrid some remote some inperson,Bachelors degree BA BS BEng etc,10,4,Engineer site reliability,CCHTMLCSSMATLABPythonSQL,InfluxDBMariaDBMicrosoft SQL ServerMongoDBMySQLSQLite,Google CloudVMware,Flask,Android StudioGeanyIPythonJupyter NotebookJupyterLabKateNanoNotepadQt CreatorSpyderVisual StudioVisual Studio CodeVSCodium,AndroidDebianOther LinuxbasedWindows,AndroidDebianOther LinuxbasedWindows,7,Manufacturing
Unknown,Something else,5,-1,Student,BashShell all shellsHTMLCSSJavaScriptPHPPythonTypeScript,Unknown,Unknown,Unknown,KateNanoVimVisual Studio Code,DebianWindowsOther please specify,Unknown,-1,Unknown
Hybrid some remote some inperson,Masters degree MA MS MEng MBA etc,25,18,Developer embedded applications or devices,BashShell all shellsCCMicroPythonPythonRust,SQLite,Amazon Web Services AWSOpenShift,Unknown,Android StudioVisual StudioVisual Studio Code,WindowsWindows Subsystem for Linux WSL,AndroidCygwinWindowsWindows Subsystem for Linux WSL,19,Software Development
Remote,Masters degree MA MS MEng MBA etc,15,7,Developer fullstack,JavaJavaScriptPythonSQLTypeScript,PostgreSQL,Unknown,jQueryReact,EclipseNanoNotepadPyCharmVisual Studio Code,UbuntuWindows,Windows,10,Software Development
Hybrid some remote some inperson,Bachelors degree BA BS BEng etc,16,12,Other please specify,PythonRustTypeScript,Dynamodb,Amazon Web Services AWS,NextjsNodejsReact,Visual Studio Code,FedoraMacOSWindowsWindows Subsystem for Linux WSL,MacOS,-1,Unknown
Remote,Bachelors degree BA BS BEng etc,18,14,Developer backend,HTMLCSSJavaJavaScriptSQLTypeScript,H2Oracle,Oracle Cloud Infrastructure OCI,Spring Boot,Android StudioDataGripIntelliJ IDEAVim,WindowsWindows Subsystem for Linux WSL,Ubuntu,14,Software Development
Inperson,Bachelors degree BA BS BEng etc,3,2,Developer fullstack,CHTMLCSSJavaScriptTypeScript,Microsoft SQL Server,Unknown,AngularASPNET COREDjangoNodejs,Visual StudioVisual Studio Code,AndroidWindows,Windows,2,Software Development
Hybrid some remote some inperson,Masters degree MA MS MEng MBA etc,12,8,Developer backend,PHP,MySQLPostgreSQLRedis,Unknown,Laravel,PhpStorm,Ubuntu,Ubuntu,-1,Unknown
Inperson,Some collegeuniversity study without earning a degree,4,4,Developer frontend,JavaJavaScriptKotlinObjectiveCPHPSQLSwiftTypeScript,MySQL,Unknown,LaravelReact,Visual Studio CodeXcode,MacOS,WindowsWindows Subsystem for Linux WSL,4,Retail and Consumer Services
Remote,Some collegeuniversity study without earning a degree,5,3,Developer fullstack,HTMLCSSJavaScriptPython,Cloud FirestoreFirebase Realtime DatabaseMongoDBMySQLPostgreSQLRedisSQLite,Amazon Web Services AWSDigital OceanHerokuNetlifyPythonAnywhereRenderVercel,DjangoExpressFastAPIFlaskjQueryNextjsNodejsNuxtjsReactVuejs,Android StudioVimVisual Studio Code,WindowsWindows Subsystem for Linux WSL,UbuntuWindowsWindows Subsystem for Linux WSL,-1,Unknown
Hybrid some remote some inperson,Masters degree MA MS MEng MBA etc,14,6,Developer fullstack,HTMLCSSJavaScriptRuby,ElasticsearchMariaDBMongoDBRedis,Netlify,AstroNodejsReactRuby on Rails,Visual Studio Code,MacOS,MacOS,-1,Unknown
Inperson,Bachelors degree BA BS BEng etc,19,13,Developer backend,BashShell all shellsCGoLuaPythonRustTypeScript,PostgreSQLSQLite,Amazon Web Services AWSGoogle CloudMicrosoft Azure,Unknown,IntelliJ IDEAVisual Studio Code,DebianMacOSUbuntuWindowsWindows Subsystem for Linux WSL,MacOSUbuntu,13,Software Development
Remote,Bachelors degree BA BS BEng etc,3,1,Security professional,AdaHTMLCSSJavaScriptPythonSolidity,SQLite,PythonAnywhere,FastAPI,VimVisual Studio Code,AndroidWindows,Windows,-1,Unknown
Inperson,Bachelors degree BA BS BEng etc,10,0,Other please specify,AssemblyCLispPythonRust,Unknown,VMware,Unknown,EmacsNotepadVimVisual Studio Code,Arch,Other LinuxbasedUbuntuWindows,1,Other
Inperson,Masters degree MA MS MEng MBA etc,4,4,Developer mobile,CCCDartHTMLCSSJavaJavaScriptPHP,Cloud FirestoreFirebase Realtime DatabaseMongoDBMySQLOracleSQLite,FirebaseHerokuNetlifyVercel,AngularAngularJSExpressjQueryLaravelNodejsSpring Boot,Android StudioEclipseVisual StudioVisual Studio Code,AndroidiOSMacOSWindows,AndroidiOSMacOSWindows,4,Software Development
Remote,Masters degree MA MS MEng MBA etc,6,0,Developer Experience,CHTMLCSSPythonSQL,H2Microsoft SQL ServerMySQLOraclePostgreSQLSQLite,Amazon Web Services AWSGoogle CloudPythonAnywhere,ASPNETDjangojQuery,Android StudioJupyter NotebookJupyterLabNotepadPyCharmSublime TextVisual Studio Code,AndroidWindows,Unknown,4,Fintech
Inperson,Masters degree MA MS MEng MBA etc,11,9,Developer fullstack,HTMLCSSJavaScriptPHPSQL,MySQL,Amazon Web Services AWSDigital OceanGoogle CloudManaged Hosting,CodeIgniterjQueryYii 2,NotepadVisual StudioVisual Studio Code,Windows,MacOSOther LinuxbasedUbuntuWindows,9,Other
Remote,Bachelors degree BA BS BEng etc,12,7,Developer fullstack,HTMLCSSJavaScriptPHPSQL,ElasticsearchMariaDBMySQLPostgreSQLRedis,Unknown,LaravelVuejs,PhpStorm,MacOS,MacOS,7,Software Development
Inperson,Bachelors degree BA BS BEng etc,13,10,Developer backend,JavaPHPSQL,CassandraDuckDBDynamodbElasticsearchFirebase Realtime DatabaseMongoDBMySQLRedisSQLite,Amazon Web Services AWSCloudflareFirebaseGoogle Cloud,jQueryLaravelSpring BootSymfonyWordPress,Android StudioBBEditEclipseIntelliJ IDEANetbeansNotepadPhpStormSublime TextVisual StudioVisual Studio Code,AndroidDebianFedoraiOSMacOSOther LinuxbasedRed HatSolarisUbuntuWindowsWindows Subsystem for Linux WSL,AndroidDebianFedoraiOSMacOSOther LinuxbasedRed HatSolarisUbuntuWindowsWindows Subsystem for Linux WSL,10,Software Development
Remote,Bachelors degree BA BS BEng etc,2,2,Developer fullstack,HTMLCSSJavaScriptTypeScript,MongoDB,NetlifyVercel,NextjsNodejsReact,Android StudioVisual Studio Code,AndroidUbuntuWindowsWindows Subsystem for Linux WSL,AndroidUbuntuWindowsWindows Subsystem for Linux WSL,2,Unknown
Remote,Bachelors degree BA BS BEng etc,17,11,Other please specify,JavaJavaScriptSQLTypeScript,ElasticsearchMongoDBMySQLOraclePostgreSQLRedis,Amazon Web Services AWSGoogle CloudHerokuMicrosoft AzureOpenShiftVercel,AngularAngularJSjQueryNextjsNodejsReactSpring Boot,EclipseIntelliJ IDEANotepadSublime TextVimVisual Studio Code,AndroidUbuntuWindowsWindows Subsystem for Linux WSL,Windows,12,Internet Telecomm or Information Services
Inperson,Bachelors degree BA BS BEng etc,4,2,Developer frontend,BashShell all shellsCHTMLCSSJavaScriptKotlinPHPPythonRustSoliditySQLTypeScript,Firebase Realtime DatabaseMongoDBPostgreSQLRedisSQLite,Amazon Web Services AWSFirebaseHerokuNetlifyOVHVercel,AstroDenoExpressGatsbyNextjsNodejsReactSvelte,Android StudioEmacsGeanyIntelliJ IDEANanoNeovimVimVSCodiumXcode,AndroidDebian,Ubuntu,2,Software Development
Remote,Masters degree MA MS MEng MBA etc,35,25,Developer backend,PythonScalaTypeScript,PostgreSQL,Amazon Web Services AWSGoogle Cloud,NestJSNextjsNodejs,IntelliJ IDEAJupyter NotebookJupyterLab,MacOS,MacOS,-1,Unknown
Remote,Professional degree JD MD PhD EdD etc,8,4,DevOps specialist,CGoGroovyHTMLCSSJavaJavaScriptPython,ElasticsearchMongoDBRedis,Amazon Web Services AWSDigital OceanManaged HostingVultr,AngularFastAPIFlaskNextjsReact,FleetSublime TextVimVisual Studio Code,AndroidArchDebianUbuntuWindows,ArchDebianUbuntuWindows Subsystem for Linux WSL,-1,Unknown
Unknown,Masters degree MA MS MEng MBA etc,4,0,Developer backend,CGoHTMLCSSJavaScriptRustSQL,MySQLPostgreSQLSupabase,HerokuMicrosoft AzureSupabase,ExpressNestJSNextjsNodejsReactSvelte,VimVisual StudioVisual Studio Code,FedoraWindows,Unknown,-1,Unknown
Inperson,Masters degree MA MS MEng MBA etc,15,5,Developer backend,HTMLCSSJavaJavaScriptSQL,H2MariaDBOraclePostgreSQL,NetlifyVercel,NextjsReactSpring Boot,EclipseIntelliJ IDEANotepadVisual Studio Code,DebianWindows,DebianWindows,-1,Unknown
Unknown,Secondary school eg American high school German Realschule or Gymnasium etc,16,-1,Unknown,CCLuaPython,Unknown,Unknown,Unknown,NeovimPyCharmSublime Text,Windows,Unknown,-1,Unknown
Remote,Masters degree MA MS MEng MBA etc,11,5,Developer frontend,JavaScriptTypeScript,Unknown,Firebase,NuxtjsVuejs,Visual Studio Code,Windows,Windows,-1,Unknown
Hybrid some remote some inperson,Bachelors degree BA BS BEng etc,6,6,Developer Experience,BashShell all shellsGoJavaScriptPythonTypeScript,Dynamodb,Amazon Web Services AWSCloudflareDigital OceanFlyioHeroku,Htmx,GolandIPythonVimVisual Studio Code,Windows Subsystem for Linux WSL,MacOS,7,Internet Telecomm or Information Services
Hybrid some remote some inperson,Professional degree JD MD PhD EdD etc,30,10,Developer fullstack,CCCMATLABPythonVisual Basic Net,Microsoft SQL ServerSQLite,Microsoft Azure,Unknown,Jupyter NotebookJupyterLabNotepadPyCharmVisual StudioVisual Studio Code,UbuntuWindows,Unknown,-1,Unknown
Inperson,Bachelors degree BA BS BEng etc,7,3,Developer mobile,DartJavaKotlinObjectiveCPythonSQL,Microsoft SQL ServerMySQLSQLite,FirebaseVMware,WordPress,Android StudioIntelliJ IDEAVisual Studio CodeXcode,AndroidUbuntuWindows,AndroidiOSMacOSWindows,4,Software Development
Inperson,Masters degree MA MS MEng MBA etc,17,14,Developer fullstack,CHTMLCSSJavaJavaScriptPowerShellPythonSQLTypeScriptVBAVisual Basic Net,FirebirdMicrosoft AccessMicrosoft SQL ServerMongoDBMySQLSQLite,Amazon Web Services AWSCloudflareFirebaseMicrosoft Azure,AngularASPNETASPNET COREExpressjQueryNodejsReact,EclipseNotepadVisual StudioVisual Studio Code,Windows,Windows,-1,Unknown
Inperson,Bachelors degree BA BS BEng etc,8,5,Developer fullstack,CHTMLCSSJavaScriptKotlinPython,MySQLSQLite,CloudflareDigital OceanHetznerOVH,DjangoFlaskReact,Android StudioNotepadVisual Studio Code,Windows,MacOSWindows,5,Manufacturing
Inperson,Masters degree MA MS MEng MBA etc,10,7,Developer frontend,HTMLCSSJavaScriptTypeScript,Firebase Realtime DatabaseMySQL,Vercel,AngularjQueryReactVuejs,Visual Studio Code,Windows,Unknown,-1,Unknown
Remote,Bachelors degree BA BS BEng etc,20,14,Developer backend,JavaJavaScriptTypeScript,ElasticsearchOraclePostgreSQL,OpenShift,AngularNestJSSpring Boot,IntelliJ IDEASublime Text,Windows,Ubuntu,14,Software Development
Hybrid some remote some inperson,Bachelors degree BA BS BEng etc,14,7,Research  Development role,BashShell all shellsCCCDartGoHTMLCSSJavaJavaScriptPHPPythonRSQL,Couch DBInfluxDBMariaDBMongoDBMySQLPostgreSQL,Amazon Web Services AWSOracle Cloud Infrastructure OCIVMware,DjangojQuerySpring BootSymfonyWordPress,Android StudioCLionEclipseIntelliJ IDEAJupyter NotebookJupyterLabNanoVimVSCodium,AndroidDebian,DebianUbuntuWindows,7,Manufacturing
Remote,Some collegeuniversity study without earning a degree,4,-1,Developer fullstack,BashShell all shellsCCHTMLCSSJavaJavaScriptKotlinPHPSQLTypeScript,MariaDBMicrosoft SQL ServerMongoDBMySQLSQLite,NetlifyRender,ASPNETExpressNextjsNodejsReactStrapiWordPress,Android StudioNeovimRiderVisual Studio CodeVSCodium,AndroidArchWindowsWindows Subsystem for Linux WSL,WindowsWindows Subsystem for Linux WSL,-1,Unknown
Hybrid some remote some inperson,Professional degree JD MD PhD EdD etc,17,13,Research  Development role,CHTMLCSSPythonSQL,MySQLSQLite,Unknown,Unknown,PyCharmVisual Studio Code,MacOSWindows,Windows,-1,Unknown
Unknown,Primaryelementary school,5,-1,Student,CCGoHTMLCSSJavaJavaScriptKotlinLuaPHPPythonSQLTypeScript,MariaDBMongoDBMySQLRedisSQLite,Unknown,ExpressNodejsReact,CLionIntelliJ IDEANotepadPyCharmVisual StudioVisual Studio Code,UbuntuWindowsWindows Subsystem for Linux WSL,UbuntuWindows,-1,Unknown
Remote,Bachelors degree BA BS BEng etc,10,5,Developer fullstack,CFHTMLCSSJavaScriptNimPythonSQLVBA,MariaDBPostgreSQLRedisSQLite,Hetzner,ASPNET COREAstroDjangoHtmxjQueryNodejsReact,IPythonNeovimPyCharmVisual Studio Code,Other LinuxbasedWindowsOther please specify,Other LinuxbasedOther please specify,5,Software Development
Hybrid some remote some inperson,Masters degree MA MS MEng MBA etc,20,18,Developer backend,PythonSQL,Dynamodb,Amazon Web Services AWSDigital OceanHeroku,DjangoFastAPIjQueryLaravelWordPress,IntelliJ IDEAIPythonNotepadVisual Studio CodeVSCodium,MacOSUbuntuWindows Subsystem for Linux WSL,MacOSUbuntuWindows Subsystem for Linux WSL,-1,Unknown
Hybrid some remote some inperson,Bachelors degree BA BS BEng etc,36,34,Developer fullstack,CC,MariaDB,Unknown,Unknown,Jupyter NotebookJupyterLabNanoVisual StudioVisual Studio Code,DebianMacOSUbuntuWindows,DebianMacOSUbuntuWindows,35,Government
Inperson,Masters degree MA MS MEng MBA etc,43,35,Other please specify,CPerlPHPSQL,MySQL,Unknown,Unknown,NotepadVim,Windows,Unknown,-1,Unknown
Inperson,Bachelors degree BA BS BEng etc,6,3,Developer mobile,DartHTMLCSSJavaJavaScriptKotlinTypeScript,MongoDB,Unknown,React,Android StudioVisual StudioVisual Studio Code,AndroidiOSWindows,Unknown,3,Software Development
Inperson,Bachelors degree BA BS BEng etc,2,-1,Engineer site reliability,Python,Unknown,Unknown,WordPress,Jupyter NotebookJupyterLabVisual Studio Code,Ubuntu,Ubuntu,-1,Unknown
Hybrid some remote some inperson,Bachelors degree BA BS BEng etc,13,10,Data engineer,Scala,Cassandra,Unknown,Unknown,IntelliJ IDEA,MacOS,MacOS,10,Software Development
Inperson,Bachelors degree BA BS BEng etc,3,2,Developer fullstack,HTMLCSSJavaJavaScriptSQLTypeScript,MariaDBMySQLNeo4JOracleRedis,Unknown,Spring BootVuejs,IntelliJ IDEAVimVisual Studio Code,MacOSWindows,MacOSWindows,2,Software Development
Hybrid some remote some inperson,Masters degree MA MS MEng MBA etc,-1,-1,Project manager,Python,Unknown,Unknown,Unknown,Jupyter NotebookJupyterLabPyCharmVisual Studio Code,Windows,Windows,-1,Unknown
Hybrid some remote some inperson,Bachelors degree BA BS BEng etc,5,3,Developer mobile,JavaPHP,MySQLPostgreSQL,Amazon Web Services AWS,Unknown,Unknown,AndroidUbuntuWindows,MacOS,3,Fintech
Unknown,Secondary school eg American high school German Realschule or Gymnasium etc,6,-1,Developer fullstack,BashShell all shellsCCGoHTMLCSSJavaJavaScriptLispLuaPHPPowerShellPythonRustSQLTypeScriptVisual Basic Net,MariaDBMicrosoft SQL ServerOracleSQLite,CloudflareDigital OceanMicrosoft Azure,ExpressNodejsReactSvelteVuejs,NanoNeovimNetbeansVimVisual StudioVisual Studio Code,ArchWindowsWindows Subsystem for Linux WSL,Unknown,-1,Unknown
Hybrid some remote some inperson,Bachelors degree BA BS BEng etc,15,12,Developer fullstack,HTMLCSSJavaJavaScriptTypeScript,Solr,Vercel,AstrojQueryNodejsReactSvelteVuejs,Visual Studio Code,AndroidWindows,AndroidiOSiPadOSUbuntuWindows,-1,Unknown
Hybrid some remote some inperson,Bachelors degree BA BS BEng etc,6,2,Data engineer,AssemblyBashShell all shellsCCCHTMLCSSJavaScriptMATLABRRustSQLTypeScript,Microsoft SQL ServerOracle,Microsoft AzureOracle Cloud Infrastructure OCI,ASPNETASPNET COREDjangoExpressNodejsReact,CLionEclipseIntelliJ IDEANeovimNetbeansPyCharmVisual StudioVisual Studio CodeWebStorm,AndroidArchWindows,ArchWindows,-1,Unknown
Remote,Bachelors degree BA BS BEng etc,27,20,Developer fullstack,BashShell all shellsCHTMLCSSJavaScriptPHPPowerShellSQLTypeScriptVBA,MariaDBSQLite,Amazon Web Services AWSGoogle CloudManaged Hosting,LaravelNodejsVuejsWordPress,Visual StudioVisual Studio Code,Windows,WindowsWindows Subsystem for Linux WSL,-1,Unknown
Hybrid some remote some inperson,Secondary school eg American high school German Realschule or Gymnasium etc,6,4,Developer backend,CHTMLCSSJavaScript,Microsoft SQL ServerMySQLSQLite,Microsoft Azure,ASPNETASPNET CORE,VimVisual StudioVisual Studio Code,Other Linuxbased,Windows,4,Internet Telecomm or Information Services
Remote,Professional degree JD MD PhD EdD etc,14,10,Other please specify,BashShell all shellsKotlinPythonSQL,PostgreSQLRedisSnowflake,CloudflareGoogle Cloud,Flask,Android StudioEmacsVisual Studio Code,UbuntuWindows,Ubuntu,10,Unknown
Remote,Bachelors degree BA BS BEng etc,23,17,Developer frontend,CHTMLCSSJavaKotlinRustTypeScript,SQLite,Amazon Web Services AWS,NodejsReact,Android StudioVisual StudioVisual Studio Code,Windows,MacOS,-1,Unknown
Unknown,Masters degree MA MS MEng MBA etc,1,0,Developer fullstack,HTMLCSSJavaScript,MongoDB,Unknown,ExpressNodejsReact,Visual Studio Code,Windows,Windows,-1,Unknown
Remote,Bachelors degree BA BS BEng etc,10,4,Developer fullstack,GoHTMLCSSJavaJavaScriptSwiftTypeScript,Dynamodb,Amazon Web Services AWSCloudflareOracle Cloud Infrastructure OCI,AngularNodejsSvelte,Android StudioFleetVimWebStormXcode,AndroidMacOSWindows,AndroidiOSMacOSWindowsWindows Subsystem for Linux WSL,4,Software Development
Remote,Masters degree MA MS MEng MBA etc,8,8,Developer backend,BashShell all shellsGroovyJavaJavaScriptPythonScalaSQL,PostgreSQL,Amazon Web Services AWSCloudflareHetzner,Spring Boot,IntelliJ IDEASublime TextVisual Studio Code,MacOSUbuntu,MacOSUbuntu,-1,Unknown
Inperson,Masters degree MA MS MEng MBA etc,20,11,DevOps specialist,Java,IBM DB2MariaDBMongoDBOracle,Unknown,Unknown,IntelliJ IDEAVisual Studio Code,WindowsWindows Subsystem for Linux WSL,WindowsWindows Subsystem for Linux WSL,11,Manufacturing
Hybrid some remote some inperson,Secondary school eg American high school German Realschule or Gymnasium etc,13,10,Developer fullstack,JavaScript,Microsoft SQL Server,Unknown,Unknown,Visual Studio Code,Windows,Windows,13,Retail and Consumer Services
Unknown,Masters degree MA MS MEng MBA etc,30,30,Developer fullstack,BashShell all shellsHTMLCSSJavaScriptPythonRRustSQL,MariaDBMySQLPostgreSQLSQLite,Unknown,FastAPIFlaskjQuery,IPythonJupyter NotebookJupyterLabPyCharmRStudioVimVisual Studio Code,DebianMacOSOther LinuxbasedUbuntuWindowsWindows Subsystem for Linux WSL,Unknown,-1,Unknown
Inperson,Masters degree MA MS MEng MBA etc,8,7,Developer fullstack,CHTMLCSSJavaScriptTypeScript,MongoDB,Amazon Web Services AWSDigital OceanNetlifyVercelVultr,DenoExpressjQueryNextjsNodejsNuxtjsReactVuejs,NanoVisual Studio Code,AndroidUbuntuWindows,UbuntuWindows Subsystem for Linux WSL,7,Fintech
Remote,Masters degree MA MS MEng MBA etc,14,10,Developer Advocate,Ruby,Unknown,Flyio,Ruby on Rails,Visual Studio Code,iOSMacOS,MacOS,10,Software Development
Remote,Secondary school eg American high school German Realschule or Gymnasium etc,10,7,System administrator,AssemblyCCCPerlPowerShellPythonSQL,Microsoft SQL ServerMySQLPostgreSQLSQLite,Amazon Web Services AWSMicrosoft AzureOracle Cloud Infrastructure OCI,Unknown,NanoNotepadPyCharmVimVisual StudioVisual Studio Code,AndroidWindows,Red HatWindows,7,Internet Telecomm or Information Services
Hybrid some remote some inperson,Bachelors degree BA BS BEng etc,2,-1,Developer fullstack,AssemblyBashShell all shellsCHTMLCSSJavaJavaScriptPythonRRustScalaTypeScript,MongoDBMySQLPostgreSQLSupabase,CloudflareSupabaseVercel,Svelte,Visual Studio Code,Windows,UbuntuWindows,-1,Unknown
Hybrid some remote some inperson,Masters degree MA MS MEng MBA etc,10,-1,Product manager,HTMLCSSJavaScript,MySQLPostgreSQL,Amazon Web Services AWSGoogle Cloud,ExpressFastifyFlaskGatsbyNodejsReact,Visual Studio Code,MacOS,Unknown,-1,Unknown
Inperson,Bachelors degree BA BS BEng etc,11,7,Developer frontend,HTMLCSSJavaScriptSQL,Oracle,VMware,jQueryNuxtjsReactVuejs,IntelliJ IDEASublime TextVisual Studio Code,MacOSWindows,Windows,-1,Unknown
Remote,Masters degree MA MS MEng MBA etc,11,7,Developer backend,GoHTMLCSSPHPSQL,MongoDBMySQLRedis,Amazon Web Services AWSGoogle Cloud,Unknown,Android StudioGolandPhpStormVisual Studio Code,AndroidFedoraUbuntu,AndroidFedoraUbuntu,12,Other
Remote,Bachelors degree BA BS BEng etc,8,3,Developer frontend,DartPythonSwift,Cloud FirestoreFirebase Realtime DatabaseMySQLOracleSQLiteSupabase,Amazon Web Services AWSFirebaseGoogle CloudNetlifySupabaseVercel,FlaskWordPress,Android StudioIntelliJ IDEAJupyter NotebookJupyterLabNotepadVisual StudioVisual Studio CodeXcode,AndroidiOSMacOS,AndroidiOSMacOS,4,Software Development
Remote,Bachelors degree BA BS BEng etc,8,4,Developer backend,GoHTMLCSSJavaScriptRustSQL,MySQLPostgreSQLSQLiteSupabase,Alibaba CloudCloudflare,AstroNextjsNodejsReact,GolandVimVisual Studio CodeWebStorm,Windows Subsystem for Linux WSL,Windows Subsystem for Linux WSL,-1,Unknown
Hybrid some remote some inperson,Bachelors degree BA BS BEng etc,15,9,DevOps specialist,HTMLCSSJavaJavaScriptPythonSQLTypeScript,ClickhouseMySQL,Unknown,Angular,Android StudioIntelliJ IDEAVisual Studio Code,ChromeOS,WindowsWindows Subsystem for Linux WSL,-1,Unknown
